idx,umls_cui,se_name
340,C0311468,Blood bilirubin increased
341,C0085584,Encephalopathy
342,C0233414,Disturbance in attention
343,C0151883,Dermatitis bullous
344,C0023067,Laryngitis
345,C0019360,Herpes zoster
346,C0031212,Personality disorder
347,C0017565,Gingival bleeding
348,C0026946,Fungal infection
349,C0019348,Herpes simplex
350,C2979982,Vaginal haemorrhage
351,C0085682,Hypophosphataemia
352,C0025345,Menstrual disorder
353,C0032227,Pleural effusion
354,C0237849,Skin exfoliation
355,C0002418,Amblyopia
356,C0149871,Deep vein thrombosis
357,C0042510,Ventricular fibrillation
358,C0836924,Thrombocytosis
359,C0035243,Respiratory tract infection
360,C0021141,Inappropriate antidiuretic hormone secretion
361,C0008370,Cholestasis
362,C0340464,Extrasystoles
363,C0234913,Rash erythematous
364,C0234632,Visual acuity reduced
365,C0521839,Influenza like illness
366,C0011609,Drug eruption
367,C0947912,Muscular weakness
368,C0558489,Renal pain
369,C0151603,Generalised oedema
370,C0028961,Oliguria
371,C0026827,Muscle relaxant therapy
372,C0549622,Sexual dysfunction
373,C0023066,Laryngospasm
374,C0424790,Chills
375,C3665347,Visual impairment
376,C2129214,Diarrhoea
377,C0151836,Paranoia
378,C0019112,Haemorrhoids
379,C0003537,Aphasia
380,C0236024,Pharyngeal oedema
381,C0040460,Toothache
382,C0030920,Peptic ulcer
383,C0151576,Blood creatine phosphokinase increased
384,C0021368,Inflammation
385,C0522224,Paralysis
386,C0025874,Metrorrhagia
387,C0236071,Throat tightness
388,C0007222,Cardiovascular disorder
389,C0018944,Haematoma
390,C0151505,Application site reaction
391,C2937358,Cerebral haemorrhage
392,C0242429,Oropharyngeal discomfort
393,C0333355,Mucosal inflammation
394,C0033117,Priapism
395,C0162285,Eyelid oedema
396,C1456784,Paranoia
397,C0014130,Endocrine disorder
398,C0022568,Keratitis
399,C0018794,Atrioventricular block
400,C0006840,Candida infection
401,C0152029,Sinus congestion
402,C0040435,Tooth disorder
403,C0043387,Yawning
404,C0206061,Interstitial lung disease
405,C0917798,Cerebral ischaemia
406,C0037317,Sleep disorder
407,C0476273,Respiratory distress
408,C0522055,Electrocardiogram abnormal
